ID | Map evaluation | API evaluation | url_start_via_end |	url_start_via | url_via_end+ 
325216 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.87811,-87.6298&loc=41.60054,-93.60911&loc=38.63,-90.19","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.87811,-87.6298&loc=41.60054,-93.60911","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.60054,-93.60911&loc=38.63,-90.19","url_via_end")
326129 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326016 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.653226,-79.3831843&loc=42.1389839,-83.24179939999999","url_start_via")|-- 
326130 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326149 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326151 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326242 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.0461,-85.13792&loc=0.0,0.0","url_start_via")|-- 
326243 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.0461,-85.13792&loc=0.0,0.0","url_start_via")|-- 
326150 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326244 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.0461,-85.13792&loc=0.0,0.0","url_start_via")|-- 
326245 | No Routing|  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=41.0461,-85.13792&loc=0.0,0.0","url_start_via")|-- 
326804 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.3776,-124.1012&loc=52.53653,5.909951","url_start_via")|-- 
326805 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977&loc=42.60641,-83.14977","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.60641,-83.14977&loc=42.60641,-83.14977","url_via_end")
326871 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")|-- 
326872 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977&loc=42.60641,-83.14977","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.60641,-83.14977&loc=42.60641,-83.14977","url_via_end")
327171 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.95438,-119.9883&loc=47.718,-116.9516","url_start_via")|-- 
326806 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977&loc=42.60641,-83.14977","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.65322,-79.38319&loc=42.60641,-83.14977","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=42.60641,-83.14977&loc=42.60641,-83.14977","url_via_end")
327170 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=46.95438,-119.9883&loc=47.718,-116.9516","url_start_via")|-- 
